Data1,Data2,Data3,Data4,Data5,Data6,PDR,time,TotalTime(ms),Throughput(kbp)
QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,QBXq3gAAQwABqvMXy000AsoPB/I34Ss5GUmU0w==,,,0.867647, 2022-06-04T19:41:41Z, 861906, 0.015333
QBXq3gAARAABsygErIeD/8eLaqiLkrafQD63gg==,QBXq3gAARAABsygErIeL/8fGaqiLkrafQD63gg==,QBXq3gAARAABsygErIeD/8fGaqgSkrafiz63gg==,QBXq3gAARAABsygErIeD/8fGaqgSkoufQD63gg==,,,0.869565, 2022-06-04T19:41:53Z, 874799, 0.015364
QBXq3gAARQABcmyyDrIYEFpsr4I9mehHm7plmw==,QBXq3gAARQABcmyyDrIYEFpsr4I9mehHm7plmw==,QBXq3gAARQABcmyyDrIYEFpsr4I9mehHm7plmw==,QBXq3gAARQABcmyyDrIYEFpsr4I9mehHm7plmw==,,,0.871429, 2022-06-04T19:42:06Z, 887247, 0.015400
QBXq3gAARgABetZD7y8fc87HNKvHl5bmHczJLg==,QBXq3gAARgABetZD7y/Hc84ANKvHl5bmHczJLg==,QBXq3gAARgABetZD7y8fc84ANKswl5bmx8zJLg==,QBXq3gAARgABetZD7y8fc84ANKswl8fmHczJLg==,,,0.873239, 2022-06-04T19:42:19Z, 900135, 0.015429
QBXq3gAARwABuzxyJY+9jKJISX/GpYfXz1grng==,QBXq3gAARwABuzxyJY+9jKJISX/GpYfXz1grng==,QBXq3gAARwABuzxyJY+9jKJISX/GpYfXz1grng==,QBXq3gAARwABuzxyJY+9jKJISX/GpYfXz1grng==,,,0.875000, 2022-06-04T19:42:31Z, 912656, 0.015463
QBXq3gAASAABVOkVtbluCE7KyVLKHCHzyujpXQ==,QBXq3gAASAABVOkVtbnKCE4myVLKHCHzyujpXQ==,QBXq3gAASAABVOkVtbluCE4myVLOHCHzyujpXQ==,QBXq3gAASAABVOkVtbluCE4myVLOHMrzyujpXQ==,,,0.876712, 2022-06-04T19:42:44Z, 925479, 0.015490
QBXq3gAASQAB5JbOXiAOp6aHxUIehOT8MHuCtA==,QBXq3gAASQAB5JbOXiAOp6aHxUIehOT8MHuCtA==,QBXq3gAASQAB5JbOXiAOp6aHxUIehOT8MHuCtA==,QBXq3gAASQAB5JbOXiAOp6aHxUIehOT8MHuCtA==,,,0.878378, 2022-06-04T19:42:57Z, 937933, 0.015523
QBXq3gAASgABOgXiFSlVtSL94ZUajAstgIo4jw==,QBXq3gAASgABOgXiFSlVtSL94ZUajAstgIo4jw==,QBXq3gAASgABOgXiFSlVtSL94ZUajAstgIo4jw==,QBXq3gAASgABOgXiFSlVtSL94ZUajAstgIo4jw==,,,0.880000, 2022-06-04T19:43:09Z, 950607, 0.015552
QBXq3gAASwABd5sUSRbMnWfeR/Pese70zsN+QQ==,QBXq3gAASwABd5sUSRbenWfoR/Pese70zsN+QQ==,QBXq3gAASwABd5sUSRbMnWfoR/OKse703sN+QQ==,QBXq3gAASwABd5sUSRbMnWfoR/OKsd70zsN+QQ==,,,0.881579, 2022-06-04T19:43:22Z, 963300, 0.015580
QBXq3gAATAABFFe94Skl1beIB16IOHmWw2mEFQ==,QBXq3gAATAABFFe94SmI1bcgB16IOHmWw2mEFQ==,QBXq3gAATAABFFe94Skl1bcgB17WOHmWiGmEFQ==,QBXq3gAATAABFFe94Skl1bcgB17WOIiWw2mEFQ==,,,0.883117, 2022-06-04T19:43:35Z, 975945, 0.015607
QBXq3gAATQABe2OajTod5ek2cr82gEmZ62EjRg==,QBXq3gAATQABe2OajTo25em4cr82gEmZ62EjRg==,QBXq3gAATQABe2OajTod5em4cr+xgEmZNmEjRg==,QBXq3gAATQABe2OajTod5em4cr+xgDaZ62EjRg==,,,0.884615, 2022-06-04T19:43:47Z, 988623, 0.015634
