TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,Received3,TotalTime3,TotalPower3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
376085,1,0.496482,0.447286,0.532461,0.562085,0.000000,0.000000,0.000000,0.000000,0.447286,0.992990,48.000000,10.000000,1.000000,0.822978,0.714286,0.700669,9.000000,0.000000,0.514699,0.789474,0.738838,9.000000,0.000000,0.612712,0.857143,6944.000000,7.737344,7837.229056,0.743120,9.000000,0.000000,0.646800,0.694444,0.786530,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:03:27Z
425277,0,0.490388,0.447286,0.532461,0.562085,0.000000,0.000000,0.000000,0.000000,0.447286,0.992769,48.000000,10.000000,1.000000,0.812876,0.697674,0.687353,9.000000,0.000000,0.514699,0.789474,0.747129,9.000000,0.000000,0.612712,0.857143,7616.000000,8.416256,8610.509824,0.754427,9.000000,0.000000,0.646800,0.694444,0.789939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:04:17Z
437324,2,0.490388,0.447286,0.496482,0.562085,0.000000,0.000000,0.000000,0.000000,0.447286,0.993285,48.000000,10.000000,1.000000,0.812876,0.697674,0.683688,9.000000,0.000000,0.514699,0.789474,0.750890,10.000000,1.000000,0.822978,0.795455,7840.000000,8.642560,8868.270080,0.757758,9.000000,0.000000,0.646800,0.694444,0.793077,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:04:29Z
448388,3,0.490388,0.447286,0.496482,0.500367,0.000000,0.000000,0.000000,0.000000,0.447286,0.998067,48.000000,10.000000,1.000000,0.812876,0.697674,0.683688,9.000000,0.000000,0.514699,0.789474,0.750890,10.000000,1.000000,0.822978,0.795455,8064.000000,9.054208,9239.576576,0.751550,9.000000,0.000000,0.575780,0.666667,0.798661,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:04:40Z
466627,1,0.490388,0.596596,0.496482,0.500367,0.000000,0.000000,0.000000,0.000000,0.490388,0.992976,48.000000,10.000000,1.000000,0.812876,0.697674,0.680329,9.000000,0.000000,0.686512,0.744681,0.757758,10.000000,1.000000,0.822978,0.795455,8288.000000,9.465856,9610.883072,0.745821,9.000000,0.000000,0.575780,0.666667,0.801156,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:04:58Z
487551,2,0.490388,0.596596,0.505935,0.500367,0.000000,0.000000,0.000000,0.000000,0.490388,0.993396,48.000000,10.000000,1.000000,0.812876,0.697674,0.674389,9.000000,0.000000,0.686512,0.744681,0.760900,9.000000,0.000000,0.582188,0.816327,8960.000000,10.700800,10724.802560,0.731016,9.000000,0.000000,0.575780,0.666667,0.805650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:05:19Z
495576,0,0.422390,0.596596,0.505935,0.500367,0.000000,0.000000,0.000000,0.000000,0.422390,0.985366,48.000000,11.000000,3.000000,0.936136,0.700000,0.671749,9.000000,0.000000,0.686512,0.744681,0.760900,9.000000,0.000000,0.582188,0.816327,8960.000000,10.700800,10724.802560,0.731016,9.000000,0.000000,0.575780,0.666667,0.807681,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:05:27Z
508646,3,0.422390,0.596596,0.505935,0.571037,0.000000,0.000000,0.000000,0.000000,0.422390,0.983757,48.000000,11.000000,3.000000,0.936136,0.700000,0.661322,9.000000,0.000000,0.686512,0.744681,0.763870,9.000000,0.000000,0.582188,0.816327,9408.000000,11.153408,11240.323072,0.737345,10.000000,1.000000,0.946562,0.686275,0.809586,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:05:40Z
536783,1,0.422390,0.641115,0.505935,0.571037,0.000000,0.000000,0.000000,0.000000,0.422390,0.977734,48.000000,11.000000,3.000000,0.936136,0.700000,0.643170,9.000000,0.000000,0.737741,0.740741,0.771876,9.000000,0.000000,0.582188,0.816327,9632.000000,11.379712,11498.083328,0.740297,10.000000,1.000000,0.946562,0.686275,0.792644,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:06:08Z
547839,2,0.422390,0.641115,0.527465,0.571037,0.000000,0.000000,0.000000,0.000000,0.422390,0.978910,48.000000,11.000000,3.000000,0.936136,0.700000,0.635221,9.000000,0.000000,0.737741,0.740741,0.774280,9.000000,0.000000,0.606962,0.818182,10080.000000,11.832320,12013.603840,0.745821,10.000000,1.000000,0.946562,0.686275,0.785175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:06:19Z
555861,0,0.516852,0.641115,0.527465,0.571037,0.000000,0.000000,0.000000,0.000000,0.516852,0.992550,48.000000,9.000000,0.000000,0.594750,0.714286,0.627905,9.000000,0.000000,0.737741,0.740741,0.774280,9.000000,0.000000,0.606962,0.818182,10080.000000,11.832320,12013.603840,0.745821,10.000000,1.000000,0.946562,0.686275,0.778273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:06:27Z
558883,3,0.516852,0.641115,0.527465,0.580026,0.000000,0.000000,0.000000,0.000000,0.516852,0.992467,48.000000,9.000000,0.000000,0.594750,0.714286,0.627905,9.000000,0.000000,0.737741,0.740741,0.776569,9.000000,0.000000,0.606962,0.818182,10080.000000,11.832320,12013.603840,0.745821,9.000000,0.000000,0.667445,0.714286,0.771876,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2022-12-20T11:06:30Z
