TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,TotalPower7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
956827,0,1.296624,1.281059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.281059,0.999964,32.000000,9.000000,3.000000,0.789907,0.833333,1.472544,9.000000,3.000000,0.780424,0.752688,1.581595,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:32:52Z
977872,1,1.296624,1.293711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.293711,0.999999,32.000000,9.000000,3.000000,0.789907,0.833333,1.476491,9.000000,3.000000,0.788132,0.765306,1.584072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:33:14Z
1006931,0,1.262692,1.293711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.262692,0.999853,32.000000,9.000000,3.000000,0.769235,0.841584,1.482078,9.000000,3.000000,0.788132,0.765306,1.585613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:33:43Z
1027999,1,1.262692,1.299424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.262692,0.999795,32.000000,9.000000,3.000000,0.769235,0.841584,1.485597,9.000000,3.000000,0.791612,0.776699,1.587775,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:34:04Z
1067079,0,1.254494,1.299424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.254494,0.999691,32.000000,9.000000,3.000000,0.764241,0.841121,1.490593,9.000000,3.000000,0.791612,0.776699,1.589126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:34:43Z
1098153,1,1.254494,1.258657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.254494,0.999997,32.000000,9.000000,3.000000,0.764241,0.841121,1.495279,9.000000,3.000000,0.766777,0.772727,1.591029,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:35:14Z
1117188,0,1.316428,1.258657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.258657,0.999497,32.000000,9.000000,3.000000,0.801971,0.848214,1.498245,9.000000,3.000000,0.766777,0.772727,1.591633,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:35:33Z
1148279,1,1.316428,1.258679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.258679,0.999497,32.000000,9.000000,3.000000,0.801971,0.848214,1.501093,9.000000,3.000000,0.766790,0.782609,1.593911,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:36:04Z
1177316,0,1.221645,1.258679,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.221645,0.999777,32.000000,9.000000,3.000000,0.744229,0.847458,1.505158,9.000000,3.000000,0.766790,0.782609,1.594974,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:36:33Z
1198384,1,1.221645,1.902948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.221645,0.954614,32.000000,9.000000,3.000000,0.744229,0.847458,1.507740,8.000000,1.000000,0.945524,0.791667,1.596482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2023-01-13T11:36:54Z
