TotalTime(ms),Flag,EE1,EE2,EE3,EE4,EE5,EE6,EE7,EE8,minEE,Fair index,Loopcount,SF1,TP1,PRR1,InstantPRR1,InstantEE1,SF2,TP2,PRR2,InstantPRR2,Received2,TotalTime2,TotalPower2,InstantEE2,SF3,TP3,PRR3,InstantPRR3,InstantEE3,SF4,TP4,PRR4,InstantPRR4,InstantEE4,SF5,TP5,PRR5,InstantPRR5,InstantEE5,SF6,TP6,PRR6,InstantPRR6,InstantEE6,SF7,TP7,PRR7,InstantPRR7,InstantEE7,SF8,TP8,PRR8,InstantPRR8,InstantEE8,time
150530,5,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.747738,2.737815,1.674987,0.962137,32.000000,8.000000,1.000000,0.980288,1.000000,2.135709,8.000000,3.000000,0.726347,0.833333,2688.000000,0.863744,520.837632,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.316966,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.466853,7.000000,1.000000,0.736619,1.000000,3.716730,2023-01-09T22:47:41Z
162621,7,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.747738,2.308536,1.674987,0.964484,32.000000,8.000000,1.000000,0.980288,1.000000,2.123897,8.000000,3.000000,0.726347,0.833333,2912.000000,0.987136,595.243008,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.386620,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.882857,1.000000,0.510171,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:47:53Z
171669,6,1.972914,2.186693,2.794233,2.764981,2.811254,1.674987,1.651033,2.308536,1.651033,0.961609,32.000000,8.000000,1.000000,0.980288,1.000000,2.114153,8.000000,3.000000,0.726347,0.833333,2912.000000,0.987136,595.243008,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.450553,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.551077,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:02Z
195823,0,2.828648,2.186693,2.794233,2.764981,2.811254,1.674987,1.651033,2.308536,1.651033,0.962172,32.000000,7.000000,1.000000,0.761058,1.000000,2.093028,8.000000,3.000000,0.726347,0.833333,3136.000000,1.110528,669.648384,3.010535,7.000000,0.000000,0.949333,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.509442,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.589767,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:26Z
197835,2,2.828648,2.186693,2.772896,2.764981,2.811254,1.674987,1.651033,2.308536,1.651033,0.962446,32.000000,7.000000,1.000000,0.761058,1.000000,2.093028,8.000000,3.000000,0.726347,0.833333,3136.000000,1.110528,669.648384,3.010535,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.509442,7.000000,0.000000,0.955116,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.589767,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:28Z
199855,4,2.828648,2.186693,2.772896,2.764981,2.765477,1.674987,1.651033,2.308536,1.651033,0.963058,32.000000,7.000000,1.000000,0.761058,1.000000,2.093028,8.000000,3.000000,0.726347,0.833333,3136.000000,1.110528,669.648384,3.010535,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.563861,7.000000,0.000000,0.939564,1.000000,2.943363,9.000000,4.000000,0.940872,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.589767,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:30Z
200869,5,2.828648,2.186693,2.772896,2.764981,2.765477,2.041221,1.651033,2.308536,1.651033,0.972256,32.000000,7.000000,1.000000,0.761058,1.000000,2.093028,8.000000,3.000000,0.726347,0.833333,3136.000000,1.110528,669.648384,3.010535,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.563861,7.000000,0.000000,0.939564,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.589767,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:31Z
206916,1,2.828648,2.111788,2.772896,2.764981,2.765477,2.041221,1.651033,2.308536,1.651033,0.971248,32.000000,7.000000,1.000000,0.761058,1.000000,2.151780,7.000000,1.000000,0.568184,0.714286,3360.000000,1.233920,744.053760,3.010535,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.939395,1.000000,1.563861,7.000000,0.000000,0.939564,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.780250,9.000000,5.000000,0.834007,0.882353,0.626417,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:37Z
219000,3,2.828648,2.111788,2.772896,2.722374,2.765477,2.041221,1.651033,2.308536,1.651033,0.971719,32.000000,7.000000,1.000000,0.761058,1.000000,2.151780,7.000000,1.000000,0.568184,0.714286,3360.000000,1.233920,744.053760,3.010535,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.614301,7.000000,0.000000,0.939564,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.798963,9.000000,5.000000,0.834007,0.882353,0.661183,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:48:49Z
232117,6,2.828648,2.111788,2.772896,2.722374,2.765477,2.041221,1.758537,2.308536,1.758537,0.975094,32.000000,7.000000,1.000000,0.761058,1.000000,2.151780,7.000000,1.000000,0.568184,0.714286,3584.000000,1.300736,804.321792,3.063451,7.000000,0.000000,0.942084,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.661182,7.000000,0.000000,0.939564,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.831042,9.000000,5.000000,0.888312,0.869565,0.725619,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:49:02Z
248226,2,2.828648,2.111788,2.674044,2.722374,2.765477,2.041221,1.758537,2.308536,1.758537,0.976133,32.000000,7.000000,1.000000,0.761058,1.000000,2.206429,7.000000,1.000000,0.568184,0.714286,3808.000000,1.367552,864.589824,3.108989,7.000000,0.000000,0.908499,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.704869,7.000000,0.000000,0.939564,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.844894,9.000000,5.000000,0.888312,0.869565,0.755532,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:49:18Z
250234,4,2.828648,2.111788,2.674044,2.722374,2.604258,2.041221,1.758537,2.308536,1.758537,0.977728,32.000000,7.000000,1.000000,0.761058,1.000000,2.206429,7.000000,1.000000,0.568184,0.714286,3808.000000,1.367552,864.589824,3.108989,7.000000,0.000000,0.908499,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.745676,7.000000,0.000000,0.884790,1.000000,2.943363,8.000000,2.000000,0.955758,1.000000,1.844894,9.000000,5.000000,0.888312,0.869565,0.755532,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:49:20Z
251246,5,2.828648,2.111788,2.674044,2.722374,2.604258,2.041199,1.758537,2.308536,1.758537,0.977727,32.000000,7.000000,1.000000,0.761058,1.000000,2.206429,7.000000,1.000000,0.568184,0.714286,3808.000000,1.367552,864.589824,3.108989,7.000000,0.000000,0.908499,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.745676,7.000000,0.000000,0.884790,1.000000,2.943363,8.000000,2.000000,0.955748,1.000000,1.857540,9.000000,5.000000,0.888312,0.869565,0.755532,7.000000,1.000000,0.621120,0.937500,3.716730,2023-01-09T22:49:21Z
253258,7,2.828648,2.111788,2.674044,2.722374,2.604258,2.041199,1.758537,2.618943,1.758537,0.977620,32.000000,7.000000,1.000000,0.761058,1.000000,2.206429,7.000000,1.000000,0.568184,0.714286,3808.000000,1.367552,864.589824,3.108989,7.000000,0.000000,0.908499,1.000000,2.943363,7.000000,0.000000,0.924919,0.909091,1.745676,7.000000,0.000000,0.884790,1.000000,2.943363,8.000000,2.000000,0.955748,1.000000,1.857540,9.000000,5.000000,0.888312,0.869565,0.784050,7.000000,1.000000,0.704636,0.800000,3.716730,2023-01-09T22:49:23Z
269398,3,2.828648,2.111788,2.674044,2.702747,2.604258,2.041199,1.758537,2.618943,1.758537,0.977811,32.000000,7.000000,1.000000,0.761058,1.000000,2.305023,7.000000,1.000000,0.568184,0.714286,3808.000000,1.367552,864.589824,3.108989,7.000000,0.000000,0.908499,1.000000,2.943363,7.000000,0.000000,0.918251,0.925926,1.819723,7.000000,0.000000,0.884790,1.000000,2.943363,8.000000,2.000000,0.955748,1.000000,1.869133,9.000000,5.000000,0.888312,0.869565,0.811270,7.000000,1.000000,0.704636,0.800000,3.716730,2023-01-09T22:49:39Z
